shortname,category,assign_count,chat_count,choice_count,database_count,feedback_count,file_count,folder_count,forum_count,glossary_count,label_count,languagelesson_count,lesson_count,lti_count,page_count,quiz_count,scorm_count,survey_count,url_count,wiki_count,workshop_count
ECON400-04-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EDUC110-00-S16,86,6,0,1,0,0,44,0,1,0,26,0,0,0,1,0,0,0,10,0,0
EDUC110-WL0-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EDUC225-00-S16,86,7,0,0,0,0,34,6,1,0,58,0,0,0,0,0,0,0,10,0,0
EDUC250-00-S16,86,5,0,0,0,0,25,0,2,0,27,0,0,0,0,0,0,0,21,0,0
EDUC254-00-S16,86,10,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EDUC338-00-S16,86,12,0,0,0,0,87,8,2,0,72,0,0,0,0,0,0,0,25,0,0
EDUC365S-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EDUC375-00-S16,86,0,0,0,0,0,41,0,4,0,0,0,0,0,0,0,0,0,23,0,0
EDUC385-00-S16,86,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
EDUC386-00-S16,86,5,0,0,0,0,31,1,2,0,3,0,0,0,1,0,0,0,16,0,0
EDUC391-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EDUC395-00-S16,86,7,0,1,0,0,50,3,7,0,83,0,0,0,0,0,0,0,23,0,0
ENGL109-00-S16,86,10,0,0,0,0,9,0,1,0,13,0,0,0,4,0,0,0,4,0,0
ENGL109-02-S16,86,12,0,0,0,0,9,0,3,0,14,0,0,0,4,0,0,0,4,0,0
ENGL109-S16,86,12,0,0,0,0,10,0,3,0,15,0,0,0,4,0,0,0,4,0,0
ENGL115-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
