shortname,category,Assignment,Chat,Choice,Database,Feedback,Folder,Forum,Glossary,Label,Language Lesson,Lesson,LTI,Quiz,SCORM,Survey,Wiki,Workshop
CS399-04-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS399-05-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS399-06-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS399-08-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS399-09-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS399-10-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS399-11-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANC107-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANC148-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANC150-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANC200-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANC208-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANC300-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANC301-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANC350-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECON110-01-F15,84,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
ECON110-02-F15,84,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0
ECON111-01-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ECON111-02-F15,84,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ECON111-03-F15,84,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ECON240-00-F15,84,13,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
ECON268-00-F15,84,3,0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0
ECON271-00-F15,84,11,0,0,0,0,0,1,0,74,0,0,0,0,0,0,0,0
ECON278-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ECON280-00-F15,84,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ECON329-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ECON330-00-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ECON395-01-F15,84,0,0,2,0,0,9,1,0,2,0,0,0,0,0,0,0,0
ECON395-02-F15,84,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ECON395-03-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ECON400-04-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDUC100-00-F15,84,5,0,1,0,0,0,1,0,78,0,0,0,0,0,0,0,0
EDUC110-00-F15,84,7,0,1,0,1,0,1,0,93,0,0,0,0,0,0,0,0
