"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"CS201-01-W16",85,33,0,0,0,0,0,5,0,31,0,0,0,6,0,0,0,0
"CS201-02-W16",85,15,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"CS201-WL1-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS202-00-W16",85,55,0,0,0,0,0,1,0,40,0,0,0,0,0,0,0,0
"CS208-00-W16",85,10,0,3,0,0,1,2,0,5,0,0,0,1,0,0,0,0
"CS252-00-W16",85,11,0,0,0,1,0,2,0,26,0,0,0,0,0,0,0,0
"CS257-00-W16",85,33,0,0,0,0,0,10,0,30,0,0,0,0,0,0,0,0
"CS312-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS348-00-W16",85,30,0,0,0,0,0,1,0,9,0,0,1,0,0,0,1,0
"CS362-00-W16",85,46,0,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0
"CS392-11-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS400-01-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS400-02-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS400-03-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS400-04-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS400-05-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS400-06-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS400-08-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS400-09-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS400-10-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS400-11-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DANC107-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DANC148-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DANC150-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DANC200-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DANC205-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DANC208-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DANC215-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DANC253-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DANC268-00-W16",85,35,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0
"DANC300-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DANC350-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON110-01-W16",85,9,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,0
"ECON110-02-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON110-03-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON111-01-W16",85,3,0,0,0,0,1,3,0,39,0,0,0,2,0,0,0,0
"ECON111-02-W16",85,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON111-03-W16",85,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"ECON233-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON241-00-W16",85,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"ECON263-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON264-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON273-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON274-00-W16",85,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ECON281-00-W16",85,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
