"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"ECON400-02-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"econ400-03-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"educ110-00-s20",110,4,0,0,0,0,0,12,0,39,0,0,1,0,0,0,0,0
"EDUC250-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"educ291-12-s20",110,8,0,0,0,0,1,2,0,15,0,0,0,0,0,0,0,0
"EDUC338-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"educ395-00-s20",110,2,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0
"engl109-00-s20",110,7,0,0,0,0,1,2,0,14,0,0,0,0,0,0,0,0
"engl115-00-s20",110,6,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"ENGL119-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"engl135-00-s20",110,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0
"engl160-00-s20",110,0,0,0,0,0,0,18,0,45,0,0,2,0,0,0,0,0
"engl187-00-s20",110,2,0,0,0,0,0,13,0,0,0,0,0,3,0,0,1,0
"ENGL214-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"engl214-01-s20",110,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,2,0
"engl219-00-s20",110,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0
"engl220-01-s20",110,2,0,0,0,0,1,20,0,0,0,0,0,5,0,0,0,0
"engl220-02-s20",110,2,0,0,0,0,1,21,0,0,0,0,0,5,0,0,0,0
"ENGL220-s20 (Raylor)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"engl225-00-s20",110,10,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0
"engl239-00-s20",110,4,0,0,0,0,0,20,0,33,0,0,0,0,0,0,0,0
"ENGL245-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"engl249-00-s20",110,5,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
"engl250-00-s20",110,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
"engl285-00-s20",110,10,0,0,0,0,0,11,0,3,0,0,0,2,0,0,0,0
"engl295-00-s20",110,7,0,0,0,0,0,3,0,39,0,0,0,0,0,0,0,0
"engl323-00-s20",110,3,0,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0
"engl345-00-s20",110,16,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
"engl359-00-s20",110,7,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"engl370-00-s20",110,0,0,0,0,0,0,33,0,10,0,0,0,0,0,0,0,0
"engl371-00-s20",110,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0
"ENGL391-11-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"engl395-00-s20",110,6,0,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0
"ents244-00-s20",110,14,0,0,0,0,0,33,0,27,0,0,0,0,0,0,0,0
"ents254-00-s20",110,9,0,0,0,0,0,5,0,38,0,0,0,0,0,0,0,0
"ENTS274-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ents288-00-s20",110,98,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0
"eust159-00-s20",110,21,0,1,0,0,5,23,0,40,0,0,0,0,0,0,0,0
"fren103-01-s20",110,6,0,0,0,0,2,6,0,17,0,0,0,13,0,0,0,0
"fren103-02-s20",110,7,0,0,0,0,2,6,0,11,0,0,0,13,0,0,0,0
"fren103-03-s20",110,7,0,0,0,0,2,6,0,11,0,0,0,13,0,0,0,0
"FREN103-s20 (Keïta)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"FREN208-07-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"fren210-00-s20",110,2,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0
"fren248-00-s20",110,1,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0
